IDX,Revenue
534,83.74
535,85.32
536,95.37
537,58.55
538,92.05
539,114.33
540,88.78
541,92.32
542,111.27
543,82.59
544,89.43
545,93
546,96.06
547,99.4
548,60.39
549,88.84
550,94.12
551,47.05
552,90.21
553,86.65
554,91.61
555,94.53
556,111.57
557,104.78
558,56.88
559,113.22
560,84.34
561,91.03
562,115.1
563,100.58
564,108.51
565,87.35
566,90.49
567,97.91
568,96.53
569,95.97
570,36.42
571,95.84
572,94.86
573,55.25
574,102.41
575,55.41
576,82.96
577,90.27
578,91.18
579,63.28
580,52.46
581,114.93
582,82.64
583,59.06
584,55.69
585,90.85
586,93.58
587,102.96
588,52.83
589,57.49
590,88.89
591,114.19
592,58.79
593,91.82
594,88.62
595,98.88
596,106.13
597,86.57
598,88.51
599,98.33
600,111.26
601,99.68
602,63.36
603,85.98
604,95.71
605,53.85
606,90.41
607,104.58
608,103.14
609,51.45
610,92.24
611,90.71
612,111.59
613,98.18
614,102.5
615,58.18
616,90.9
617,115.5
618,99.3
619,88.73
620,91.68
621,89.28
622,105.18
623,87.07
624,87.04
625,61.28
626,89.21
627,86.85
628,93.82
629,97.84
630,94.24
631,60.72
632,101.42
633,84.26
634,101.92
635,90.11
636,110.28
637,86.21
638,86.14
639,97.66
640,93.56
641,82.16
642,90.53
643,116.09
644,90.07
645,93.48
646,97.79
647,54.77
648,56.36
649,53.55
650,50.58
651,87.28
652,93.34
653,47.74
654,103.2
655,93.15
656,86.71
657,90.91
658,86.58
659,90.1
660,117.68
661,55.56
662,88.42
663,90.77
664,96.74
665,52.7
666,99.82
667,52.42
668,82.61
669,97.1
670,93.62
671,58.04
672,56.44
673,102.52
674,65.23
675,96.55
676,94.22
677,59.98
678,103.39
679,109.74
680,94.28
681,91.53
682,52.48
683,106.21
684,88.92
685,108.24
686,91.96
687,87.69
688,85.27
689,114.8
690,116.67
691,84.3
692,90.3
693,93.32
694,104.43
695,89.82
696,90.17
697,105.67
698,94.26
699,114.15
700,59.76
701,87.94
702,57.49
703,98.17
704,43.18
705,91.42
706,56.28
707,113.68
708,94.3
709,94.12
710,88.18
711,114.43
712,89.27
713,95.06
714,48.14
715,92.47
716,48.13
717,89.52
718,47.66
719,98.61
720,60.04
721,89.29
722,17.33
723,98.2
724,94.56
725,86.67
726,87.6
727,88.49
728,49.58
729,53.76
730,56.73
731,89.43
732,53.89
733,49.3
734,103.74
735,88.51
736,80.54
737,91.17
738,103.54
739,94.81
740,89.41
741,56.48
742,85.51
743,95.68
744,94.58
745,59.72
746,91.44
747,117.44
748,99.07
749,87.61
750,102.71
751,57.98
752,101.74
753,92.84
754,25.32
755,100.68
756,89.96
757,88.46
758,111.17
759,50.3
760,96.07
761,115.88
762,88.07
763,93.42
764,94.96
765,58.59
766,83.71
767,80.16
768,87.51
769,55.05
770,115.94
771,82.44
772,96.3
773,103.44
774,92.67
775,85.65
776,81.03
777,88.36
778,87.33
779,110.11
780,89.81
781,93.98
782,43.03
783,96.72
784,93.01
785,83.43
786,101.81
787,94.63
788,102.26
789,88.29
790,97.34
791,111.77
792,92.51
793,61.18
794,93.19
795,98.47
796,91.75
797,85.83
798,109.28
799,85.12
800,57.04
801,92.63
802,90.83
803,36.39
804,98.59
805,89.14
806,116.07
807,95.41
808,60.87
809,94.92
810,44.6
811,87.66
812,53.7
813,81.64
814,94.22
815,101.37
816,112.64
817,50.12
818,89.93
819,92.78
820,54.89
821,90.81
822,90.93
823,100.53
824,36.93
825,91.79
826,114.56
827,113.75
828,55.12
829,84.27
830,55.69
831,92.89
832,90.32
833,98.63
834,96.89
835,51.85
836,54.39
837,85.2
838,53.28
839,92.61
840,98.2
841,84
842,48.87
843,51.49
844,85.07
845,56.97
846,83.19
847,100.54
848,52.39
849,90.54
850,109.82
851,100.48
852,95.49
853,95.43
854,83.67
855,86.04
856,92.93
857,61.89
858,62.87
859,99.45
860,97.23
861,94.34
862,82.74
863,80.26
864,107.61
865,113.7
866,92.94
867,109.28
868,89.84
869,113.83
870,88.23
871,103.75
872,95.14
873,89.88
874,101.27
875,60.16
876,60.66
877,88.83
878,93.53
879,91.52
880,93.57
881,115.29
882,60.19
883,88.93
884,86.26
885,106.21
886,86.75
887,83.93
888,85.46
889,111.26
890,81.9
891,106.81
892,91.12
893,113.65
894,91.38
895,40.28
896,106.27
897,101.72
898,93.97
899,91.57
900,96.24
901,62.58
902,34.02
903,86.46
904,94.62
905,57.06
906,101.6
907,88.1
908,103.81
909,96.76
910,98.81
911,49.58
912,109.3
913,87.56
914,59.83
915,93.26
916,96.02
917,117.56
918,112.93
919,93.17
920,91.36
921,55.17
922,88.77
923,112.18
924,97.81
925,93.03
926,90.7
927,92.67
