Revenue,IDX
121.8046,0
114.219,1
110.4139,2
132.8819,3
109.7092,4
124.7335,5
112.4557,6
124.2134,7
126.6941,8
111.9064,9
112.3774,10
110.7072,11
115.547,12
118.0035,13
100.2574,14
106.3435,15
119.9747,16
119.7154,17
103.5733,18
110.8252,19
127.6789,20
113.5157,21
127.4809,22
109.6202,23
114.4702,24
121.4514,25
125.2027,26
119.287,27
108.676,28
118.525,29
103.3135,30
85.5481,31
118.2909,32
116.5481,33
130.9755,34
117.566,35
124.4356,36
122.5175,37
133.3482,38
138.276,39
126.3307,40
63.2153,41
122.9303,42
115.089,43
124.6859,44
121.9721,45
111.9168,46
106.1959,47
112.9377,48
116.656,49
128.3354,50
125.6984,51
135.0202,52
112.7603,53
109.7448,54
36.5979,55
111.4331,56
130.7391,57
129.9377,58
120.4434,59
110.8505,60
119.7352,61
125.1815,62
101.2111,63
125.0925,64
128.4529,65
116.6768,66
116.3888,67
91.0979,68
110.1589,69
137.012,70
116.963,71
138.4141,72
127.54,73
104.3884,74
130.0895,75
136.159,76
116.6359,77
114.9917,78
125.0754,79
48.2872,80
121.2132,81
120.0108,82
117.8666,83
136.6469,84
129.3433,85
107.1232,86
110.8999,87
111.0748,88
109.9928,89
137.227,90
94.3415,91
125.7694,92
129.3332,93
70.1635,94
110.0616,95
96.1024,96
111.8323,97
109.7565,98
117.1138,99
111.6513,100
118.926,101
127.2256,102
119.9467,103
103.8005,104
118.0745,105
108.2643,106
75.0712,107
100.7045,108
100.1237,109
93.8515,110
126.9565,111
130.4107,112
99.6535,113
115.9567,114
121.3177,115
131.3832,116
127.3058,117
112.6817,118
125.9807,119
111.5212,120
106.9336,121
134.4086,122
83.6324,123
102.4382,124
93.887,125
127.1234,126
99.9999,127
133.6864,128
135.1037,129
112.2619,130
113.7377,131
116.1485,132
114.9234,133
120.7311,134
109.499041667,135
132.7786,136
118.7801,137
109.6275,138
110.067,139
96.5449,140
110.498,141
111.2932,142
87.0129,143
116.9646,144
131.0172,145
84.4626,146
120.4866,147
131.9114,148
134.2893,149
95.4479,150
112.9387,151
119.5885,152
108.8862,153
104.2879,154
101.2104,155
111.7409,156
86.7785,157
112.3512,158
113.1887,159
113.7445,160
127.0285,161
107.3805,162
110.3963,163
101.0225,164
133.5253,165
43.262,166
86.3089,167
78.2562,168
109.1534,169
103.4962,170
113.439,171
109.2864,172
87.543,173
89.0007,174
61.9244,175
38.2842,176
112.40265,177
42.1363,178
110.7629,179
122.5112,180
108.6391,181
66.1108,182
132.4316,183
134.5745,184
108.553965357,185
126.7345,186
115.1879,187
110.6712,188
122.49,189
59.5257,190
120.6315,191
101.8092,192
112.7034,193
97.517,194
103.0593,195
121.423,196
74.9873,197
113.3528,198
111.6308,199
131.6536,200
101.4157,201
111.3914,202
36.847,203
132.3086,204
133.536,205
116.8475,206
111.1432,207
112.0263,208
110.1449,209
127.2191,210
112.3402,211
94.8941,212
111.4222,213
117.0129,214
112.5717,215
120.6385,216
101.7004,217
97.9951,218
90.6454,219
107.6444,220
112.6661,221
77.589,222
107.94288,223
98.5307,224
109.5737,225
93.8092,226
111.5965,227
107.985675,228
100.1592,229
113.9609,230
116.0661,231
96.7273,232
121.673,233
95.9985,234
112.1656,235
133.1155,236
129.7557,237
115.5428,238
127.8496,239
113.8154,240
99.8203,241
132.1638,242
119.6547,243
89.0363,244
120.9618,245
118.5739,246
132.6564,247
116.606,248
112.2652,249
111.6309,250
74.236,251
89.7871,252
120.4735,253
45.8293,254
107.8424,255
119.1715,256
132.7663,257
113.0839,258
83.892,259
93.6162,260
27.9805,261
120.9528,262
131.0379,263
107.5727,264
115.7747,265
104.6482,266
110.3256,267
116.8911,268
124.149,269
109.227375,270
35.7976,271
82.498,272
110.9589,273
114.0632,274
123.4759,275
128.442,276
112.5537,277
89.2475,278
110.7368,279
121.4762,280
131.9747,281
110.6523,282
132.3469,283
109.27959,284
112.8334,285
112.6009,286
116.181,287
89.581,288
109.9232,289
132.3858,290
110.9246,291
115.4619,292
129.6544,293
102.5941,294
110.8602,295
94.3472,296
115.3325,297
63.9759,298
96.2804,299
117.2428,300
62.2841,301
97.185,302
98.1888,303
106.4062,304
112.7247,305
96.0847,306
110.556,307
39.048,308
99.0013,309
110.629,310
122.2925,311
114.9634,312
128.7916,313
115.4026,314
135.4349,315
122.4709,316
115.0142,317
106.8409,318
117.2222,319
88.384,320
100.182,321
132.9654,322
111.993,323
110.49764,324
106.5415,325
105.7584,326
81.2106,327
112.3015,328
114.4499,329
119.2312,330
106.4186,331
112.0228,332
48.7577,333
95.9011,334
120.6497,335
122.536,336
81.6018,337
137.092,338
127.5332,339
134.9405,340
110.7452,341
134.0147,342
118.9924,343
108.5908,344
92.7948,345
115.2462,346
112.6569,347
86.9192,348
132.8859,349
111.3504,350
99.9416,351
82.1158,352
41.8066,353
110.758,354
87.6802,355
114.9384,356
91.2149,357
109.6431,358
106.31472,359
95.3529,360
120.2608,361
111.1861,362
104.8879,363
90.4004,364
123.3513,365
116.1783,366
122.2171,367
113.1838,368
113.3513,369
139.333,370
122.5875,371
120.2163,372
93.7181,373
123.5551,374
131.8464,375
108.7567,376
111.78505,377
99.9495,378
109.6286,379
130.5182,380
128.7569,381
113.4889,382
112.6265,383
108.2236,384
61.7063,385
59.2335,386
97.0304,387
113.2803,388
125.1622,389
102.4327,390
115.6979,391
84.3346,392
98.4781,393
110.114414286,394
110.2512,395
130.2393,396
132.554,397
112.8853,398
118.4511,399
117.2379,400
112.8852,401
102.8801,402
113.2248,403
113.1448,404
114.915,405
113.2402,406
112.6065,407
122.8604,408
56.5584,409
112.2057,410
125.7527,411
113.7148,412
109.049033333,413
130.585,414
113.7892,415
117.1853,416
95.441,417
111.0168,418
111.6451,419
88.8339,420
112.046557143,421
112.2286,422
110.1491,423
130.0878,424
47.2272,425
106.156,426
90.6989,427
110.855583333,428
129.2486,429
117.1834,430
134.0447,431
110.5456,432
109.8125,433
136.9629,434
112.0379,435
105.2519,436
111.4531,437
109.4843,438
110.97045,439
133.6697,440
128.2231,441
133.1603,442
103.4934,443
133.7729,444
112.0792,445
128.5023,446
121.4931,447
103.6922,448
106.501466667,449
122.203,450
111.0937,451
83.0175,452
122.743,453
112.1944,454
110.6581,455
122.5394,456
41.0823,457
114.8002,458
134.1965,459
114.2668,460
111.934,461
109.1451,462
93.7885,463
125.0903,464
114.4576,465
113.5507,466
120.3688,467
126.0651,468
113.7086,469
111.0741,470
106.0925,471
114.774,472
106.76,473
111.1609,474
124.0987,475
109.78455,476
85.0924,477
104.075,478
105.8591,479
109.195,480
102.6847,481
136.9106,482
114.9089,483
108.42825,484
110.1582,485
104.1875,486
111.6496,487
112.8353,488
110.8414,489
116.4177,490
135.8068,491
106.0891,492
131.2164,493
111.1442,494
107.228983333,495
88.1952,496
131.0837,497
126.3912,498
113.7025,499
130.1727,500
121.867,501
98.2557,502
108.412075,503
112.2849,504
109.119,505
116.6462,506
112.1865,507
109.3369,508
86.9625,509
103.4506,510
115.8254,511
115.2017,512
96.9268,513
110.567153333,514
108.1906,515
95.5144,516
128.9106,517
106.6037,518
104.6208,519
121.3838,520
72.8869,521
117.1304,522
120.7732,523
109.5843,524
109.3674,525
110.9159,526
134.9327,527
114.8681,528
136.4832,529
111.4129,530
131.5682,531
130.6387,532
94.0999,533
92.8212,534
118.1434,535
120.6627,536
27.2217,537
103.268,538
111.9828,539
104.5361,540
84.7157,541
95.8464,542
102.0803,543
126.3017,544
119.624,545
115.189,546
116.6807,547
109.8152,548
123.6306,549
73.6322,550
130.6419,551
118.5501,552
92.211,553
136.7914,554
131.2279,555
110.7461,556
94.3651,557
107.8651,558
130.0722,559
109.735,560
56.311,561
103.5147,562
113.2489,563
111.7721,564
112.0133,565
111.305640476,566
111.1203,567
114.449,568
111.6828,569
117.9644,570
108.1329,571
83.2005,572
132.6636,573
136.3968,574
90.9898,575
96.1779,576
114.3477,577
102.2748,578
78.8281,579
125.849,580
134.847,581
128.6073,582
110.64745,583
107.7511,584
118.6801,585
34.0487,586
59.226,587
109.889,588
130.2333,589
106.8798,590
104.9743,591
43.5809,592
99.7843,593
104.7813,594
105.9135,595
45.0688,596
120.9101,597
108.7016,598
106.5823,599
112.7015,600
110.39565,601
112.5486,602
125.7358,603
113.4266,604
108.4788,605
112.8817,606
136.8818,607
113.8539,608
101.4136,609
111.9213,610
102.7403,611
108.594,612
87.8312,613
122.1998,614
125.8304,615
82.6013,616
116.3621,617
111.5283,618
105.8491,619
127.965,620
110.8582,621
122.5158,622
111.60814,623
110.7983,624
111.4878,625
113.3883,626
105.9585,627
102.6666,628
118.1756,629
51.8694,630
119.8904,631
110.9971,632
89.1793,633
134.1714,634
109.41145,635
114.0638,636
90.1114,637
105.2115,638
132.3941,639
131.4655,640
95.1293,641
112.9986,642
112.1291,643
111.7965,644
110.0376,645
119.2472,646
109.185826667,647
114.0629,648
29.047,649
51.4685,650
41.5548,651
108.64065,652
109.5943,653
105.3627,654
92.2948,655
96.4631,656
119.3661,657
97.6886,658
122.9953,659
135.6606,660
105.2121,661
114.1367,662
119.8539,663
89.0911,664
41.647,665
104.647,666
112.1432,667
77.8216,668
116.545,669
109.9733,670
123.0558,671
113.4063,672
132.2344,673
128.0718,674
111.0384,675
111.62184,676
90.8969,677
110.42325,678
111.2971,679
23.9969,680
129.5915,681
50.2957,682
34.7118,683
136.7357,684
111.7436,685
92.2882,686
132.8075,687
85.1179,688
120.6422,689
119.0723,690
30.4512,691
112.2066,692
112.7929,693
133.7846,694
108.6715,695
111.2441,696
121.978,697
133.5937,698
120.755,699
132.3542,700
110.0852,701
110.9191,702
128.9856,703
111.8174,704
133.8439,705
109.8477,706
