IDX,Revenue
1,113.72
2,103.17
3,124.68
4,109.35
5,52.67
6,120.68
7,94.64
8,123.99
9,124.75
10,119.14
11,116.24
12,108.14
13,53.4
14,98.44
15,118.58
16,132.74
17,109.04
18,134.24
19,56.75
20,55.54
21,104.83
22,116.48
23,129.8
24,117.96
25,106.23
26,125.26
27,128.87
28,123.44
29,126
30,54.78
31,118.49
32,98.88
33,104.19
34,117.03
35,111.79
36,106.64
37,104.97
38,105.51
39,54.06
40,119.07
41,109.1
42,104.71
43,120.4
44,103.12
45,120.91
46,110.05
47,130.78
48,107.12
49,110.79
50,130.35
51,116.67
52,129.94
53,123.42
54,55.85
55,110.22
56,111.06
57,135.13
58,132.94
59,129.91
60,129.43
61,96.95
62,132.26
63,124.5
64,123.96
65,107.61
66,108.94
67,133.28
68,122.71
69,112.13
70,53.4
71,118.15
72,109.98
73,107.75
74,110.76
75,52.46
76,111.16
77,105.02
78,125.5
79,60.19
80,101.78
81,115.46
82,107.13
83,129.55
84,104.91
85,121.83
86,113.38
87,128.25
88,104.57
89,99.21
90,109.69
91,107.95
92,106.63
93,125.03
94,127.08
95,129.39
96,128.75
97,108.03
98,62.45
99,126.54
100,113.71
101,110
102,125.11
103,131.67
104,112.09
105,117.65
106,116.61
107,116.44
108,112.31
109,120.18
110,120.28
111,130.85
112,102.95
113,131.55
114,58.83
115,123.59
116,109.32
117,56.27
118,105.39
119,106.65
120,111.46
121,131.83
122,107.38
123,55.65
124,133.37
125,110.14
126,105.68
127,54.87
128,105.64
129,113.55
130,126.93
131,110.52
132,108.78
133,124.29
134,110.76
135,103.07
136,106.36
137,127.45
138,53.43
139,116.26
140,63.1
141,131.08
142,104.53
143,103.15
144,106.34
145,110.16
146,122.82
147,111.12
148,98.28
149,105.37
150,123.44
151,107.85
152,101.75
153,112.63
154,46.47
155,37.91
156,60.38
157,130.52
158,110.31
159,97.02
160,107.91
161,100.47
162,41.54
163,110.33
164,113.06
165,46.81
166,60.31
167,122.21
168,102.88
169,97.26
170,128.97
171,118.75
172,121.95
173,115.62
174,54.9
175,134.12
176,102.88
177,104.29
178,110.32
179,50.96
180,134
181,39.54
182,108.06
183,100.14
184,105.38
185,101.46
186,56
187,57.26
188,116.86
189,106.9
190,44.82
191,129.49
192,56.42
193,60.83
194,103.89
195,57.75
196,120.63
197,108.25
198,121.6
199,123.85
200,108.91
201,114.31
202,107.84
203,17.73
204,128.17
205,124.06
206,61.65
207,56.75
208,40.11
209,102.16
210,98.78
211,108.96
212,63.45
213,114.37
214,103.14
215,118.93
216,106.86
217,114.44
218,109.25
219,59.59
220,127.91
221,104.74
222,129.77
223,108.97
224,117.28
225,56.89
226,108.49
227,102.09
228,109.03
229,105.75
230,52.33
231,131.13
232,104.72
233,116.49
234,120.24
235,97.6
236,25.61
237,109.9
238,53.04
239,35.69
240,126.65
241,52.44
242,101.38
243,46.56
244,54.5
245,56.01
246,112.82
247,120.13
248,109.66
249,107.03
250,106.93
251,117.83
252,25.26
253,102.84
254,102.25
255,101.82
256,59.79
257,55.87
258,105.99
259,104.27
260,107.99
261,45.26
262,50.41
263,109.43
264,50.72
265,50.47
266,45.26
267,108.55
268,118.26
269,120.26
270,57.68
271,120.48
272,100.74
273,102.75
274,117.04
275,123.84
276,130.89
277,107.52
278,109.45
279,64.53
280,33.76
281,57.19
282,112.37
283,108.52
284,113.9
285,59.96
286,110.49
287,106.29
288,119.87
289,108.17
290,104.94
291,57.93
292,46.06
