IDX,Revenue
1,92.86
2,110.76
3,91.44
4,97.03
5,99.65
6,51.36
7,108.85
8,114.52
9,92.46
10,110.47
11,94.05
12,112.17
13,108.67
14,77.46
15,89.61
16,116.35
17,86.95
18,109.72
19,82.08
20,90.48
21,113.77
22,111.88
23,99.1
24,75.02
25,112.39
26,74.54
27,105.55
28,106.89
29,90.62
30,95.9
31,91.66
32,76.05
33,90.52
34,92.14
35,111.33
36,102.33
37,98.12
38,81.55
39,88.04
40,94.35
41,81.74
42,105.01
43,105.73
44,114.94
45,92.72
46,84.27
47,75.88
48,98.41
49,109.22
50,100.8
51,91.74
52,94.4
53,84.38
54,94.92
55,86.75
56,93.94
57,104.55
58,108.1
59,108.23
60,90.96
61,95.77
62,95.11
63,91.1
64,110.78
65,92.2
66,92.27
67,100.74
68,80.44
69,102.23
70,105.56
71,92.51
72,105.42
73,112.42
74,114.29
75,87.75
76,104.27
77,93.35
78,112.91
79,114.53
80,115.24
81,92.05
82,104.96
83,107.81
84,91.93
85,99.32
86,83.45
87,114.65
88,112.88
89,105.22
90,86.02
91,114.87
92,114.09
93,95.52
94,109.62
95,71.93
96,99.86
97,88.23
98,52.03
99,77.88
100,85.02
101,83.07
102,98.73
103,97.73
104,100.04
105,72.97
106,83.18
107,91.72
108,92.05
109,48.15
110,89.82
111,95.97
112,116.5
113,116.07
114,102.93
115,115.1
116,73.26
117,102.45
118,113.6
119,97.65
120,82.67
121,94.93
122,99.47
123,97.91
124,101.74
125,93.3
126,93.5
127,90.24
128,73.01
129,93.76
130,98.79
131,88.74
132,91.1
133,78.28
134,93.9
135,103.34
136,83.77
137,93.98
138,95.69
139,90.04
140,91.73
141,101.36
142,42.29
143,91.49
144,106.31
145,81.72
146,28.44
147,105.62
148,102.58
149,108.81
150,75.65
151,90
152,91.76
153,109.04
154,97.64
155,92.66
156,112.61
157,105.59
158,72.64
159,99.99
160,91.18
161,109.58
162,77.03
163,92.94
164,45.01
165,92.08
166,80.15
167,78.3
168,91.34
169,91.23
170,92.34
171,92.91
172,89.93
173,86.32
174,78.44
175,88.49
176,49.42
177,107.6
178,100.17
179,75.25
180,112.72
181,91.67
182,91.79
183,94.43
184,101.9
185,81.39
186,75.58
187,114.26
188,52.11
189,91.18
190,93.46
191,114.92
192,87.55
193,91.55
194,36.16
195,84.19
196,104.71
197,90.44
198,108.33
199,99.48
200,50.76
201,85.44
202,111.87
203,107.04
204,92.62
205,93.66
206,53.59
207,46.69
208,115.09
209,92.01
210,102.52
211,75.82
212,82.53
213,114.23
214,91.36
215,86.62
216,96.43
217,116.38
218,101.36
219,107.19
220,113.14
221,85.15
222,71.67
223,105.96
224,74.82
225,99.92
226,48.67
227,89.61
228,82
229,115.6
230,114.37
231,93.77
232,110.61
233,78.62
234,91.04
235,105.59
236,78.58
237,101.54
238,92.44
239,91.11
240,91.15
241,91.99
242,115.06
243,50.53
244,86.39
245,104.82
246,50.92
247,94.19
248,42.55
249,42.78
250,113.76
251,91.66
252,49.44
253,116.48
254,82.29
255,95.35
256,82.1
257,99.14
258,76.45
259,102.74
260,92.25
261,95.97
262,101.34
263,101.74
264,91.96
265,91.94
266,114.59
267,75.88
268,88.93
269,95
270,90.93
271,74.99
272,91.92
273,101.99
274,105.31
275,93.96
276,89.74
277,116
278,45.27
279,88.25
280,103.51
281,102.25
282,97.13
283,74.83
284,98.33
285,43.51
286,89.17
287,91.7
288,97.15
289,90.42
290,81.03
291,47.32
292,48.81
293,47.34
294,112.33
295,81.89
296,98.76
297,102.95
298,41.4
299,47.25
300,102.17
301,97.85
302,97.92
303,97.22
304,84.41
305,95
306,88.88
307,84.03
308,110.58
309,102.18
310,78.48
311,93.66
312,110.4
313,87.29
314,101.09
315,48.45
316,96.82
317,91.34
318,39.59
319,52.33
320,50.34
321,116.86
322,115.77
323,81.24
324,107.58
325,109.17
326,108.28
327,90.3
328,34.89
329,109.13
330,87.47
331,93.05
332,115.84
333,104.18
334,106.43
335,93.33
336,94.18
337,93.37
338,90.57
339,91.27
340,91.65
341,87.58
342,43.04
343,93.63
344,92.85
345,48.99
346,93.94
347,103.91
348,93.4
349,92.7
350,71.71
351,79.03
352,94.54
353,51.77
354,112.74
355,90.69
356,81.85
357,87.14
358,92.07
359,97.53
360,97.97
361,105.14
362,69.72
363,18.07
364,91.81
365,94.17
366,79.52
367,108.27
368,34.47
369,35.62
370,99.58
371,112.95
372,92.3
373,98.7
374,89.85
375,95.19
376,93.2
377,92.59
378,88.31
379,100.64
380,100.64
381,80.92
382,75.58
383,115
384,90.4
385,95.29
386,110.67
387,108.79
388,77.81
389,98.19
390,88.01
391,101.53
392,89.78
393,86.75
394,84.69
395,83.49
396,91.43
397,97.4
398,96.79
399,78.37
400,77.16
401,89.25
402,85.52
403,90.94
404,84.94
405,90.76
406,99.99
407,110.2
408,99.58
409,82.53
410,114.68
411,92.63
412,83.62
413,92.26
414,90.93
415,88.49
416,85.37
417,95.47
418,92.35
419,84.19
420,47.54
421,93.37
422,99.66
423,74.9
424,80.74
425,111.92
426,101.43
427,84.83
428,92.02
429,84.52
430,94.9
431,114.12
432,110.78
433,87.11
434,97.6
435,47.39
436,34.85
437,89.94
438,93.05
439,74.1
440,106.53
441,84.57
442,101.1
443,94.46
444,89.68
445,99.97
446,93.18
447,103.06
448,93.42
449,93.21
450,90.8
451,101.14
452,88.14
453,72.15
454,76.8
455,77.61
456,110.24
457,93.5
458,100.58
459,114
460,90.7
461,101.51
462,87.33
463,83.26
464,92.18
465,84.75
466,98.53
467,93.59
468,92.86
469,91.95
470,91.92
471,69.99
472,108.11
473,107.37
474,94.17
475,85.04
476,74
477,47.67
478,91.53
479,88.71
480,89.55
481,74.92
482,93.33
483,91.38
484,101.54
485,106.69
486,88.49
487,98.73
488,80.23
489,92.48
490,90.84
491,86.68
492,113.94
493,89.23
494,95.86
495,88.91
496,101.22
497,93.46
498,98.39
499,105.49
500,91.69
501,92.24
502,98.02
503,86.93
504,91.97
505,99.48
506,95.08
507,96.84
508,88.46
509,87.67
510,82.76
511,69.86
512,112
513,92.99
514,96.96
515,92.67
516,92.89
517,94.53
518,105.63
519,100.33
520,83.78
521,115.21
522,94.14
523,104.96
524,86.09
525,49.46
526,78.5
527,103.13
528,115.82
529,98.73
530,71.46
531,91.68
532,94.08
533,91.65
534,99.47
535,85.26
536,88.03
537,92.03
538,90.62
539,92.35
540,75.54
541,105.78
542,79.43
543,90.61
544,86.94
545,87.54
546,106.8
547,116.3
548,73.85
549,86.87
550,70.74
551,91.1
552,88.14
553,90.07
554,103.21
555,116.63
556,90.85
557,97.79
558,107.16
559,91.84
560,97.8
561,69.25
562,92.37
563,86.64
564,91.72
565,84.27
566,81.15
567,90.67
568,93.45
569,92.55
570,102.95
571,103.61
572,91.26
573,72.37
574,115.25
575,100.83
576,92.68
577,49.3
578,88.9
579,95.54
580,112.69
581,70.46
582,89.4
583,96.27
584,80.19
585,76.74
586,109.11
587,78.91
588,99.2
589,98.21
590,100.28
591,93.58
592,76.69
593,94.22
594,69.83
595,88.49
596,98.21
597,72.77
598,46.18
599,107.13
600,88.69
601,53.94
602,91.16
603,86.03
604,106.72
605,70.68
606,97.52
607,86.99
608,73.78
609,91.79
610,114.43
611,116.27
612,95.39
613,85.37
614,34.69
615,87.65
616,88.85
617,114.52
618,97.69
619,79.24
620,78.04
621,88.15
622,111.22
623,102.01
624,80.69
625,97.6
626,90.33
627,101.08
628,82.48
629,106.26
630,89.9
631,98.67
632,76.11
633,91.34
634,93.93
635,92.47
636,53.03
637,36.31
638,19.46
639,103.14
640,96.76
641,76.1
642,94.16
643,91.55
644,103.92
645,94.08
646,107.98
647,101.56
648,84.22
649,84.09
650,115.03
651,84.92
652,87.86
653,93.44
654,95.59
655,90.16
656,86.45
657,109.2
658,92.58
659,75.36
660,110.72
661,77.9
662,85.64
663,75.49
664,85.2
665,111.43
666,52.77
667,86.17
668,94.57
669,53.02
670,70.92
671,80.81
672,103.69
673,89.7
674,112.59
675,70.54
676,115.31
677,89.89
678,75.67
679,112.99
680,77.3
681,70.96
682,93.5
683,92.17
684,112.66
685,86.16
686,83.68
687,89.45
688,74.04
689,92.17
690,76.72
691,93.75
692,107.23
693,78.52
