ID,var1(t-4),var2(t-4),var1(t-3),var2(t-3),var1(t-2),var2(t-2),var1(t-1),var2(t-1),var1(t),var2(t),Date
1,-0.348440354158,-0.787989660678,-0.360154561397,-0.722005582474,-0.304518449764,-0.745203405529,-0.222266833102,-0.741506210954,-0.764292996008,-0.792133823276,2011-03-01
1,-0.519312184688,-0.792133823276,-0.469733974697,-0.792133823276,-0.442710774287,-0.792133823276,-0.764292996008,-0.792133823276,-0.702363903142,-0.747373533371,2011-06-01
1,-0.677590592196,-0.792133823276,-0.672311104715,-0.792133823276,-0.764292996008,-0.792133823276,-0.702363903142,-0.747373533371,-0.519439423076,-0.76583277719,2011-09-01
1,-0.607701505018,-0.792133823276,-0.764292996008,-0.792133823276,-0.702363903142,-0.747373533371,-0.519439423076,-0.76583277719,-0.45409401233,-0.658826787174,2011-12-01
1,-0.764292996008,-0.792133823276,-0.702363903142,-0.747373533371,-0.519439423076,-0.76583277719,-0.45409401233,-0.658826787174,-0.304489753942,-0.697432664007,2012-03-01
1,-0.702363903142,-0.747373533371,-0.519439423076,-0.76583277719,-0.45409401233,-0.658826787174,-0.304489753942,-0.697432664007,-0.244431169866,-0.627559713251,2012-06-01
1,-0.519439423076,-0.76583277719,-0.45409401233,-0.658826787174,-0.304489753942,-0.697432664007,-0.244431169866,-0.627559713251,-0.19556127237,-0.701441855242,2012-09-01
1,-0.45409401233,-0.658826787174,-0.304489753942,-0.697432664007,-0.244431169866,-0.627559713251,-0.19556127237,-0.701441855242,-0.13656378827,-0.588200796156,2012-12-01
1,-0.304489753942,-0.697432664007,-0.244431169866,-0.627559713251,-0.19556127237,-0.701441855242,-0.13656378827,-0.588200796156,-0.0329610881094,-0.638198746839,2013-03-01
1,-0.244431169866,-0.627559713251,-0.19556127237,-0.701441855242,-0.13656378827,-0.588200796156,-0.0329610881094,-0.638198746839,0.00811953600171,-0.565761287585,2013-06-01
1,-0.19556127237,-0.701441855242,-0.13656378827,-0.588200796156,-0.0329610881094,-0.638198746839,0.00811953600171,-0.565761287585,0.100432263576,-0.626297205069,2013-09-01
1,-0.13656378827,-0.588200796156,-0.0329610881094,-0.638198746839,0.00811953600171,-0.565761287585,0.100432263576,-0.626297205069,0.180603215551,-0.508760528775,2013-12-01
1,-0.0329610881094,-0.638198746839,0.00811953600171,-0.565761287585,0.100432263576,-0.626297205069,0.180603215551,-0.508760528775,0.192638588174,-0.588984228375,2014-03-01
1,0.00811953600171,-0.565761287585,0.100432263576,-0.626297205069,0.180603215551,-0.508760528775,0.192638588174,-0.588984228375,0.197714380151,-0.519367978793,2014-06-01
1,0.100432263576,-0.626297205069,0.180603215551,-0.508760528775,0.192638588174,-0.588984228375,0.197714380151,-0.519367978793,0.25316567962,-0.606206800727,2014-09-01
1,0.180603215551,-0.508760528775,0.192638588174,-0.588984228375,0.197714380151,-0.519367978793,0.25316567962,-0.606206800727,0.302410557117,-0.459654689772,2014-12-01
2,-0.325013056317,-0.976349890795,-0.336512872668,-0.959476503771,-0.272504997747,-0.964426495425,-0.178504342257,-0.976349890795,-0.816330831502,-0.976349890795,2011-03-01
2,-0.529883728229,-0.976349890795,-0.486723592174,-0.976349890795,-0.447697201315,-0.976349890795,-0.816330831502,-0.976349890795,-0.721660405128,-0.946630388647,2011-06-01
2,-0.698240153427,-0.976349890795,-0.705756356325,-0.976349890795,-0.816330831502,-0.976349890795,-0.721660405128,-0.946630388647,-0.522269461341,-0.959703519805,2011-09-01
2,-0.650093605257,-0.976349890795,-0.816330831502,-0.976349890795,-0.721660405128,-0.946630388647,-0.522269461341,-0.959703519805,-0.507042547739,-0.911587553479,2011-12-01
2,-0.816330831502,-0.976349890795,-0.721660405128,-0.946630388647,-0.522269461341,-0.959703519805,-0.507042547739,-0.911587553479,-0.254009319271,-0.91985977916,2012-03-01
2,-0.721660405128,-0.946630388647,-0.522269461341,-0.959703519805,-0.507042547739,-0.911587553479,-0.254009319271,-0.91985977916,-0.316854105289,-0.904023462992,2012-06-01
2,-0.522269461341,-0.959703519805,-0.507042547739,-0.911587553479,-0.254009319271,-0.91985977916,-0.316854105289,-0.904023462992,-0.21842889433,-0.924743519867,2012-09-01
2,-0.507042547739,-0.911587553479,-0.254009319271,-0.91985977916,-0.316854105289,-0.904023462992,-0.21842889433,-0.924743519867,-0.151062792798,-0.871337134686,2012-12-01
2,-0.254009319271,-0.91985977916,-0.316854105289,-0.904023462992,-0.21842889433,-0.924743519867,-0.151062792798,-0.871337134686,-0.0282895797348,-0.894010795565,2013-03-01
2,-0.316854105289,-0.904023462992,-0.21842889433,-0.924743519867,-0.151062792798,-0.871337134686,-0.0282895797348,-0.894010795565,-0.00016438013581,-0.85931513532,2013-06-01
2,-0.21842889433,-0.924743519867,-0.151062792798,-0.871337134686,-0.0282895797348,-0.894010795565,-0.00016438013581,-0.85931513532,0.168853455339,-0.881343456866,2013-09-01
2,-0.151062792798,-0.871337134686,-0.0282895797348,-0.894010795565,-0.00016438013581,-0.85931513532,0.168853455339,-0.881343456866,0.191441208059,-0.82547253419,2013-12-01
2,-0.0282895797348,-0.894010795565,-0.00016438013581,-0.85931513532,0.168853455339,-0.881343456866,0.191441208059,-0.82547253419,0.326282043445,-0.85533593578,2014-03-01
2,-0.00016438013581,-0.85931513532,0.168853455339,-0.881343456866,0.191441208059,-0.82547253419,0.326282043445,-0.85533593578,0.234995792522,-0.830543629021,2014-06-01
2,0.168853455339,-0.881343456866,0.191441208059,-0.82547253419,0.326282043445,-0.85533593578,0.234995792522,-0.830543629021,0.27004186013,-0.879843127769,2014-09-01
2,0.191441208059,-0.82547253419,0.326282043445,-0.85533593578,0.234995792522,-0.830543629021,0.27004186013,-0.879843127769,0.289206688597,-0.810031861272,2014-12-01
3,-0.34890569057,-0.78385421425,-0.373553437826,-0.705817659948,-0.309129297602,-0.713092863643,-0.216869342981,-0.719263523253,-0.850950611914,-0.813106479951,2011-03-01
3,-0.464418623074,-0.850950611914,-0.434045550127,-0.823177661703,-0.399643571339,-0.815188641881,-0.850950611914,-0.813106479951,-0.622054055433,-0.721995386832,2011-06-01
3,-0.626941645562,-0.850950611914,-0.657021757941,-0.850950611914,-0.850950611914,-0.813106479951,-0.622054055433,-0.721995386832,-0.528633224743,-0.769872562544,2011-09-01
3,-0.577454936377,-0.850950611914,-0.850950611914,-0.813106479951,-0.622054055433,-0.721995386832,-0.528633224743,-0.769872562544,-0.473402122814,-0.672568107504,2011-12-01
3,-0.850950611914,-0.813106479951,-0.622054055433,-0.721995386832,-0.528633224743,-0.769872562544,-0.473402122814,-0.672568107504,-0.329509891638,-0.693410354173,2012-03-01
3,-0.622054055433,-0.721995386832,-0.528633224743,-0.769872562544,-0.473402122814,-0.672568107504,-0.329509891638,-0.693410354173,-0.326608792129,-0.65004179956,2012-06-01
3,-0.528633224743,-0.769872562544,-0.473402122814,-0.672568107504,-0.329509891638,-0.693410354173,-0.326608792129,-0.65004179956,-0.229690870805,-0.710939217438,2012-09-01
3,-0.473402122814,-0.672568107504,-0.329509891638,-0.693410354173,-0.326608792129,-0.65004179956,-0.229690870805,-0.710939217438,-0.0433583646434,-0.559455002047,2012-12-01
3,-0.329509891638,-0.693410354173,-0.326608792129,-0.65004179956,-0.229690870805,-0.710939217438,-0.0433583646434,-0.559455002047,-0.0262085644153,-0.639445877104,2013-03-01
3,-0.326608792129,-0.65004179956,-0.229690870805,-0.710939217438,-0.0433583646434,-0.559455002047,-0.0262085644153,-0.639445877104,0.0525157548798,-0.554897661515,2013-06-01
3,-0.229690870805,-0.710939217438,-0.0433583646434,-0.559455002047,-0.0262085644153,-0.639445877104,0.0525157548798,-0.554897661515,0.142704179286,-0.620283501899,2013-09-01
3,-0.0433583646434,-0.559455002047,-0.0262085644153,-0.639445877104,0.0525157548798,-0.554897661515,0.142704179286,-0.620283501899,0.188055278305,-0.489089012274,2013-12-01
3,-0.0262085644153,-0.639445877104,0.0525157548798,-0.554897661515,0.142704179286,-0.620283501899,0.188055278305,-0.489089012274,0.183321102816,-0.5791686855,2014-03-01
3,0.0525157548798,-0.554897661515,0.142704179286,-0.620283501899,0.188055278305,-0.489089012274,0.183321102816,-0.5791686855,0.170667090565,-0.534828667823,2014-06-01
3,0.142704179286,-0.620283501899,0.188055278305,-0.489089012274,0.183321102816,-0.5791686855,0.170667090565,-0.534828667823,0.291507985029,-0.604458815005,2014-09-01
3,0.188055278305,-0.489089012274,0.183321102816,-0.5791686855,0.170667090565,-0.534828667823,0.291507985029,-0.604458815005,0.250570096777,-0.479077411958,2014-12-01
